case_number,date,year,type,country,area,activity,fatal,species,pdf
2012.11.19,19-Nov-2012,2012,Unprovoked,USA,Florida,Surfing,N,2' to 3' shark,2012.11.19-Rittgers.pdf
2012.11.04.b,04-Nov-2012,2012,Unprovoked,USA,Hawaii,Diving,N,"Tiger shark, 15'",2012.11.04.b-Riglos.pdf
2012.11.04.a,04-Nov-2012,2012,Unprovoked,USA,Hawaii,Surfing,N,"Tiger shark, 8'",2012.11.04.a-Kekaha.pdf
2012.10.30,30-Oct-2012,2012,Unprovoked,USA,California,Surfing,N,White shark,2012.10.30-Stephens.pdf
2012.10.27,27-Oct-2012,2012,Unprovoked,USA,Hawaii,Swimming,N,"Tiger shark, 10' to 12' ",2012.10.27-Haugen.pdf
2012.10.23,23-Oct-2012,2012,Unprovoked,USA,California,Surfing,Y,"White shark, 15' to 16' ",2012.10.23-Solorio.pdf
2012.10.19,19-Oct-2012,2012,Unprovoked,USA,Florida,,N,,2012.10.19-BrevardCounty.pdf
2012.10.18.b,18-Oct-2012,2012,Unprovoked,USA,Florida,Surfing,N,,2012.10.18.b-PonceInlet.pdf
2012.10.18.a,18-Oct-2012,2012,Unprovoked,USA,Hawaii,Paddle boarding,N,6' to 8' shark,2012.10.18.a-Peterson.pdf
2012.10.16,16-Oct-2012,2012,Invalid,USA,Florida,,UNKNOWN,Shark involvement not confirmed,2012.10.16-HobeSound.pdf
2012.10.11.R,Reported 11-Oct-2012,2012,Unprovoked,NIGERIA,Delta,Bathing,N,,2012.10.11.R-Nigeria.pdf
2012.10.07,10-Oct-2012,2012,Unprovoked,USA,California,Windsurfing,N,,2012.10.07-Proppe.pdf
2012.10.02,02-Oct-2012,2012,Unprovoked,AUSTRALIA,Western Australia,Bodyboarding,N,2m shark,2012.10.02-Gavriliu.pdf
2012.09.25,25-Sep-2012,2012,Unprovoked,USA,Florida,Surfing,N,5' shark,2012.09.25-Taylor.pdf
2012.09.24,24-Sep-2012,2012,Unprovoked,USA,Florida,Surfing,N,4' shark,2012.09.24-Murray.pdf
2012.09.16,16-Sep-2012,2012,Unprovoked,USA,Florida,Surfing,N,,2012.09.16-CocoaBeach.pdf
2012.09.10,10-Sep-2012,2012,Unprovoked,TONGA,Vava'u,Swimming,N,Possibly a 3 m bull shark,2012.09.10-Maguire.pdf
2012.09.09,09-Sep-2012,2012,Unprovoked,USA,Florida,Surfing,N,,2012.09.09-NSB.pdf
2012.09.08.b,08-Sep-2012,2012,Unprovoked,USA,Florida,Surfing,N,,2012.09.08.b-Fowler.pdf
2012.09.08.a,08-Sep-2012,2012,Unprovoked,USA,Florida,Swimming,N,,2012.09.08.a-SouthBeach.pdf
2012.09.06.b,06-Sep-2012,2012,Unprovoked,USA,Florida,Surfing,N,,2012.09.06.b-Fyfe.pdf
2012.09.06.a,06-Sep-2012,2012,Unprovoked,USA,Florida,Surfing,N,,2012.09.06.a-Birchall.pdf
2012.09.04,04-Sep-2012,2012,Unprovoked,USA,Florida,Surfing,N,,2012.09.04-MelbourneBeach.pdf
2012.09.02.b,02-Sep-2012,2012,Unprovoked,USA,Florida,Boogie boarding,N,3.5' to 4' shark,2012.09.02.b-NSB-girl.pdf
2012.09.02.b,02-Sep-2012,2012,Provoked,USA,Hawaii,Spearfishing,N,"Tiger shark, 10' to 12' ",2012.09.02.c-Malabon.pdf
2012.09.02.a,02-Sep-2012,2012,Unprovoked,USA,Florida,Swimming or boogie boarding,N,3.5' to 4' shark,2012.09.02.a-NSB-Woman.pdf
2012.08.31,31-Aug-2012,2012,Provoked,SCOTLAND,Inner Hebrides,Shark fishing,N,"Porbeagle shark, 7'",2012.08.31.R-Hamish.pdf
2012.08.28,28-Aug-2012,2012,Unprovoked,AUSTRALIA,Western Australia,Surfing,N,,2012.08.28-Hines.pdf
2012.08.26,26-Aug-2012,2012,Unprovoked,BRAZIL,Pernambuco,Swimming,Y,,2012.08.26-Brazil.pdf
2012.08.15,15-Aug-2012,2012,Unprovoked,USA,Alabama,Wading or swimming,N,,2012.08.15-GulfShoresSwimmer.pdf
2012.08.11,11-Aug-2012,2012,Boating,AUSTRALIA,Western Australia,Fishing,N,4.5 m shark,2012.08.11-FishingBoat.pdf
2012.08.09,08-Aug-2012,2012,Unprovoked,USA,Florida,Free diving ,N,"Lemon shark, 4' to 5' ",2012.08.09-Lowe.pdf
2012.08.05,06-Aug-2012,2012,Unprovoked,REUNION,Saint Leu,Surfing,N,Bull shark,2012.08.05-Bujon.pdf
2012.08.04,04-Aug-2012,2012,Unprovoked,FRENCH POLYNESIA,Tuamotus,Spearfishing,N,"Lemon shark, 2.5m to 3m ",2012.08.04-FrenchPolynesia.pdf
2012.07.31.b,31-Jul-2012,2012,Unprovoked,USA,California,Surfing,N,,2012.07.31.b-Tennison.pdf
2012.07.31.a,31-Jul-2012,2012,Unprovoked,AUSTRALIA,South Australia,Surfing,N,White shark or bronze whaler,2012.07.31.a-Campion.pdf
2012.07.30.b,30-Jul-2012,2012,Unprovoked,USA,Hawaii,Surfing,N,,2012.07.30.b-Stotts.pdf
2012.07.30.a,30-Jul-2012,2012,Unprovoked,USA,Massachusetts,Body surfing,N,Thought to involve a white shark,2012.07.30.a-Myers.pdf
2012.07.24,24-Jul-2012,2012,Invalid,USA,North Carolina,,UNKNOWN,Shark involvement not confirmed,2012.07.24-OceanIsle.pdf
2012.07.23,23-Jul-2012,2012,Unprovoked,REUNION,Trois-Bassins,Surfing,Y,,2012.07.23-Rassica.pdf
2012.07.21,21-Jul-2012,2012,Invalid,TRINIDAD & TOBAGO,Trinidad,Swimming,UNKNOWN,,2012.07.21-Galera-drowning.pdf
2012.07.19,19-Jul-2012,2012,Invalid,CANADA,British Colombia,Surfing,UNKNOWN,"Salmon shark suspected, but unlikely",2012.07.19-Dakers.pdf
2012.07.14,14-Jul-2012,2012,Unprovoked,AUSTRALIA,Western Australia,Surfing,Y,"White shark, 5m",2012.07.14-Linden.pdf
2012.07.08,08-Jul-2012,2012,Unprovoked,USA,North Carolina,Swimming,N,,2012.07.08-Fasick.pdf
2012.07.07.c,07-July-2012,2012,Unprovoked,BAHAMAS,Eleuthera,Spearfishing,N,,2012.07.07.c-Connelly.pdf
2012.07.07.b,07-Jul-2012,2012,Invalid,AUSTRALIA,Victoria,Scuba diving,UNKNOWN,,2012.07.07.b-Lee.pdf
2012.07.07.a,07-Jul-2012,2012,Boating,USA,California,Kayaking,N,14' to 18'shark,2012.07.07.a-SantaCruz.pdf
2012.07.06,06-Jul-2012,2012,Unprovoked,SOUTH AFRICA,Western Cape Province,Surfing,N,15' shark,2012.07.06-Mostert.pdf
2012.06.28.R,Reported 28-Jun-2012,2012,Invalid,CROATIA,,Swimming,UNKNOWN,No shark involvement,2012.06.28.R-Croatia.pdf
2012.06.26.c,26-Jun-2012,2012,Unprovoked,USA,Florida,Swimming,N,possibly a bull shark,2012.06.26.c-Bieber.pdf
2012.06.26.b,26-Jun-2012,2012,Unprovoked,USA,Florida,Surfing,N,,2012.06.26.b-NewSmyrnaBeach.pdf
2012.06.26.a,26-Jun-2012,2012,Unprovoked,USA,Hawaii,Sitting in the water,N,a small reef shark,2012.06.26.a-StClair.pdf
2012.06.22.b,22-Jun-2012,2012,Unprovoked,AUSTRALIA,Tasmania,Surfing,N,,2012.06.22.b-Barthy.pdf
2012.06.22.a,22-Jun-2012,2012,Unprovoked,USA,Florida,Swimming,N,,2012.06.22.a-McInerney.pdf
2012.06.20,20-Jun-2012,2012,Unprovoked,AUSTRALIA,Western Australia,Surf skiing ,N,3 m shark,2012.06.20-Kane.pdf
2012.06.19,19-Jun-2012,2012,Invalid,USA,South Carolina,Standing,UNKNOWN,No shark involvement,2012.06.19-MyrtleBeach.pdf
2012.06.18,18-Jun-2012,2012,Unprovoked,USA,North Carolina,Wading,N,,2012.06.18-Daniel.pdf
2012.06.15,15-Jun-2012,2012,Provoked,USA,Florida,Fishing,N,Nurse shark,2012.06.15-SummerlandKey.pdf
2012.06.14.d,14-Jun-2012,2012,Unprovoked,USA,South Carolina,Swimming,N,small blacktip shark?,2012.06.14.d-female-MyrtleBeach.pdf
2012.06.14.c,14-Jun-2012,2012,Unprovoked,USA,South Carolina,Swimming,N,Shark involvement not confirmed,2012.06.14.c-MyrtleBeach.pdf
2012.06.14.b,14-Jun-2012,2012,Unprovoked,USA,South Carolina,Swimming,N,small blacktip shark?,2012.06.14.b-male-MyrtleBeach.pdf
2012.06.14.a,14-Jun-2012,2012,Unprovoked,USA,South Carolina,Swimming,N,Blacktip shark ,2012.06.14.a-Garosalo.pdf
2012.06.12,12-Jun-2012,2012,Unprovoked,AUSTRALIA,Victoria,Surfing,N,1.5 m shark,2012.06.12-Higgins.pdf
2012.06.10,10-Jun-2012,2012,Provoked,ITALY,Sardinia,Attempting to rescue an injured & beached shark,UNKNOWN,"Blue shark, 2.5m",2012.06.10-Zara.pdf
2012.06.03,03-Jun-2012,2012,Unprovoked,AUSTRALIA,New South Wales,Surf skiing ,N,"White shark, 2 m",2012.06.03-Ayre.pdf
2012.06.02.b,02-Jun-2012,2012,Unprovoked,USA,Florida,Surfing,N,,2012.06.02.b-DelRosso.pdf
2012.06.02.a,02-Jun-2012,2012,Unprovoked,USA,South Carolina,Boogie Boarding,N,,2012.06.02.a-Maczynski.pdf
2012.05.31,31-May-2012,2012,Unprovoked,USA,North Carolina,Wading,N,"18"" to 24"" shark",2012.05.31-Konkler.pdf
2012.05.29,29-May-2012,2012,Unprovoked,MEXICO,Guerrero,Free diving / spearfishing,N,"Bull shark, 3m",2012.05.29-Navarrette.pdf
2012.05.23,23-May-2012,2012,Unprovoked,USA,Florida,Surfing,N,4' to 5' shark,2012.05.23-Renfro.pdf
2012.05.20,20-May-2012,2012,Boating,USA,Hawaii,Kayak Fishing,N,"Tiger shark, 8' to 9' ",2012.05.20-Gallardo.pdf
2012.05.16,16-May-2012,2012,Unprovoked,FIJI,,Spearfishing,N,,2012.05.16-Naborisi.pdf
2012.05.12,12-May-2012,2012,Boating,USA,California,Kayaking / Fishing,N,White shark,2012.05.12-Nocchi.pdf
2012.05.09,09-May-2012,2012,Unprovoked,USA,Florida,Swimming,N,,2012.05.09-Stei.pdf
2012.05.06,06-May-2012,2012,Unprovoked,USA,California,Paddle boarding,N,White shark,2012.05.06-McKereghan.pdf
2012.04.19.b,19-Apr-2012,2012,Unprovoked,USA,Florida,Surfing,N,5' shark,2012.04.19.b-Ellingham.pdf
2012.04.19.a,19-Apr-2012,2012,Unprovoked,SOUTH AFRICA,Western Cape Province,Body boarding,Y,"White shark, 4 m to 5m ",2012.04.19.a-Lilienfeld.pdf
2012.04.11,11-Apr-2012,2012,Boating,AUSTRALIA,South Australia,Kayaking,N,"White shark, 6m ",2012.04.11-Demasi.pdf
2012.04.03,03-Apr-2012,2012,Unprovoked,USA,Hawaii,Surfing,N,"Tiger shark, 10'  ",2012.04.03-Holley.pdf
2012.04.00,Apr-2013,2012,Unprovoked,USA,Florida,,N,a small shark,2012.04.00-Hapworth.pdf
2012.03.31,31-Mar-2012,2012,Unprovoked,AUSTRALIA,Western Australia,Scuba diving,Y,"White shark, 4m ",2012.03.31-Kurmann.pdf
2012.03.24,24-Mar-2012,2012,Unprovoked,USA,Florida,Surfing,N,,2012.03.24-Coppola.pdf
2012.03.22,22-Mar-2012,2012,Boating,AUSTRALIA,Western Australia,Crayfishing,N,White shark,2012.03.22-Kalbarri-fishermen.pdf
2012.03.20,20-Mar-2012,2012,Unprovoked,AUSTRALIA,Queensland,Surfing,N,Possibly a bull shark,2012.03.20-OLeary.pdf
2012.03.15,15-Mar-2012,2012,Unprovoked,USA,Florida,Surfing,N,Possibly a 5' to 6' bull shark,2012.03.15-Wacha.pdf
2012.03.14.b,14-Mar-2012,2012,Unprovoked,USA,Florida,Surfing,N,4' to 5' shark,2012.03.14.b-Levy.pdf
2012.03.14.a,14-Mar-2012,2012,Unprovoked,USA,Florida,Surfing,N,4' to 5' shark,2012.03.14.a-Romano.pdf
2012.03.06.b,06-Mar-2012,2012,Unprovoked,NEW ZEALAND,North Island,Surfing,N,,2012.03.06.b-Garrett.pdf
2012.03.06.a,06-Mar-2012,2012,Provoked,AUSTRALIA,Victoria,"Diving, feeding sharks",N,"Tawny nurse shark, 40cm",2012.03.06.a-MelbourneAquarium.pdf
2012.03.05,05-Mar-2012,2012,Unprovoked,REUNION,Saint-Benoit,Body boarding,N,,2012.03.05-Itema.pdf
2012.03.04,04-Mar-2012,2012,Unprovoked,USA,Florida,Kite Surfing,N,4' shark,2012.03.04-Worrall.pdf
2012.03.03,03-Mar-2012,2012,Invalid,SAUDI ARABIA,Tabuk Province,Attempting to Kite surf from Egypt to Saudi Arabia,UNKNOWN,,2012.03.03-Lisewski.pdf
2012.03.01,01-Mar-2012,2012,Provoked,CHILE,Antofagasta Province,Fishing (illegally),N,,2012.03.01-Salomon.pdf
2012.02.26,26-Feb-2012,2012,Provoked,USA,Florida,Kite Surfing,N,Spinner shark,2012.02.26-Lasser.pdf
2012.02.25,25-Feb-2012,2012,Unprovoked,AUSTRALIA,New South Wales,Fishing,N,Grey nurse shark,2012.02.25-BroughtonIslandFisherman.pdf
2012.02.20,20-Feb-2012,2012,Boat,SOUTH AFRICA,Western Cape Province,Fishing,N,"White shark, 7m",2012.02.20-StrandfonteinBoat.pdf
2012.02.06,06-Feb-2012,2012,Unprovoked,AUSTRALIA,Queensland,Surfing,N,,2012.02.06-Ferguson.pdf
2012.01.27,27-Jan-2012,2012,Unprovoked,USA,Hawaii,Snorkeling,N,6' to 8' shark,2012.01.27-NV-Graden.pdf
2012.01.19,19-Jan-2012,2012,Unprovoked,AUSTRALIA,Western Australia,Snorkeling,N,"Tiger shark, 3m",2012.01.19-Pickering.pdf
2012.01.22.R,Reported 22-Jan-2012,2012,Unprovoked,BAHAMAS,,"Diving, photographing sharks",N,Tiger shark,2012.01.22.R-Bahamas.pdf
2012.01.18.b,18-Jan-2012,2012,Provoked,TAIWAN,Taitung ,Fishing,N,"Blue shark, 70-kg blue shark",2012.01.18.b-Taiwan.pdf
2012.01.18.a,18-Jan-2012,2012,Unprovoked,AUSTRALIA,New South Wales,Surfing,N,"White shark, 2.7 m",2012.01.18.a-Folkard.pdf
2012.01.15,15-Jan-2012,2012,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Swimming,Y,Thought to involve a bull shark,2012.01.15-Msungubana.pdf
2012.01.13,13-Jan-2012,2012,Unprovoked,USA,Oregon,Surfing,N,White shark,2012.01.13-Harnack.pdf
2012.01.03,03-Jan-2012,2012,Unprovoked,AUSTRALIA,New South Wales,Surfing,N,2 m shark,2012.01.03-Wells.pdf
2012.01.02,02-Jan-2012,2012,Unprovoked,AUSTRALIA,Queensland,Spearfishing,N,Allegedly a 4 m tiger shark,2012.01.02-Hugo-Ricardo-Mendes-da-Silva.pdf
2011.12.31,31-Dec-2011,2011,Unprovoked,USA,Florida,,N,,2011.12.31-Jupiter.pdf
2011.12.26.R,Reported 26-Dec-2011,2011,Invalid,ANTIGUA,St John's,Swimming,UNKNOWN,Shark involvement not confirmed,2011.12.26.R-Edwards.pdf
2011.12.25,25-Dec-2011,2011,Unprovoked,ECUADOR,Santa Elena,Surfing,N,,2011.12.25-Trejos.pdf
2011.12.23,23-Dec-2011,2011,Unprovoked,USA,Florida,Surfing,N,,2011.12.23-Futato.pdf
2011.12.21.b,21-Dec-2011,2011,Provoked,USA,Hawaii,Canoeing,N,7' to 8' shark ,2011.12.21.b-Miyake.pdf
2011.12.21.a,21-Dec-2011,2011,Boating,SOUTH AFRICA,Eastern Cape Province,Kayak Fishing,N,,2011.12.21.a-Coetzee.pdf
2011.12.11,11-Dec-2011,2011,Unprovoked,AUSTRALIA,New South Wales,Surfing,N,"White shark, 2.5m",2011.12.11-King.pdf
2011.12.07.b,07-Dec-2011,2011,Invalid,SOUTH AFRICA,KwaZulu-Natal,Surf skiing ,UNKNOWN,Shark involvement not confirmed,2011.12.07.b-Kohler.pdf
2011.12.07.a,07-Dec-2011,2011,Unprovoked,AUSTRALIA,New South Wales,Surfing,N,Wobbegong shark,2011.12.07.a-Mason.pdf
2011.12.06,06-Dec-2011,2011,Unprovoked,USA,Oregon,Surfing,N,,2011.12.06-Seaside-Oregon.pdf
2011.12.05,05-Dec-2011,2011,Invalid,AUSTRALIA,Queensland,Spearfishing,UNKNOWN,Shark involvement not confirmed,2011.12.05-Forsden.pdf
2011.12.02,02-Dec-2011,2011,Unprovoked,AUSTRALIA,New South Wales,Surfing,N,,2011.12.02-Carter.pdf
2011.11.29,29-Nov-2011,2011,Unprovoked,INDONESIA,Bali,Surfing,N,,2011.11.29-Andrews.pdf
2011.11.28,28-Nov-2011,2011,Unprovoked,AUSTRALIA,Queensland,Swimming,N,Wobbegong shark?,2011.11.28-Kriz-not-on-spreadsheet.pdf
2011.11.22,22-Nov-2011,2011,Boating,USA,California,Kayaking,N,"White shark, 15' to 16'",2011.11.22-Harry-Pali.pdf
2011.11.20.R,Reported 20-Nov-2011,2011,Unprovoked,PAPUA NEW GUINEA,East New Britain,Scuba diving,N,,2011.11.20.R-PigeonIsland.pdf
2011.11.12,12-Nov-2011,2011,Unprovoked,BRAZIL,Pernambuco,Surfing,N,,2011.11.12-Periera-Pernambuco.pdf
2011.11.11,11-Nov-2011,2011,Unprovoked,REUNION,Bois-Blanc ,Free diving / spearfishing,N,,2011.11.11-Delaunay.pdf
2011.10.29.,  29-Oct-2011,2011,Unprovoked,USA,California,Surfing,N,White shark,2011.10.29-Tarantino.pdf
2011.10.28.R,Reported 28-Oct-2011,2011,Unprovoked,SCOTLAND,Moray,Surfing,N,8' to 10' shark,2011.10.28.R-Rollo.pdf
2011.10.28.,  29-Oct-2011,2011,Provoked,SOUTH AFRICA,KwaZulu-Natal,Diving,N,Raggedtooth shark,2011.10.28-uShaka-Aquarium.pdf
2011.10.22,22-Oct-2011,2011,Unprovoked,AUSTRALIA,Western Australia,Diving,Y,"White shark, 10'",2011.10.22-Wainwright.pdf
2011.10.20,20-Oct-2011,2011,Unprovoked,USA,Oregon,Surfing,N,"White shark, 15'",2011.10.20-Gumm.pdf
2011.10.19,19-Oct-2011,2011,Unprovoked,AUSTRALIA,Victoria,Diving,N,"Port Jackson shark, 1m",2011.10.19-Houston.pdf
2011.10.11,11-Oct-2011,2011,Unprovoked,USA,Florida,Surfing,N,3' shark,2011.10.11-Riley.pdf
2011.10.10,10-Oct-2011,2011,Unprovoked,USA,Oregon,Surfing,N,10' to 12' shark,2011.10.10-Niblack.pdf
2011.10.09,09-Oct-2011,2011,Unprovoked,AUSTRALIA,Western Australia,Swimming,Y,,2011.10.09-Martin.pdf
2011.10.05,05-Oct-2011,2011,Boating,REUNION,,Canoeing,N,2 to 2.5 m shark,2011.10.05-Castellani.pdf
2011.10.02,02-Oct-2011,2011,Unprovoked,USA,Florida,Wade fishing,N,,2011.10.02-Perez.pdf
2011.10.01,01-Oct-2011,2011,Unprovoked,USA,Alabama,,N,,2011.10.01-Meade.pdf
2011.09.30,30-Sep-2011,2011,Invalid,USA,Puerto Rico,Surfing,UNKNOWN,No shark involvement,2011.09.30-Casanova.pdf
2011.09.28.b,28-Sep-2011,2011,Provoked,DOMINICAN REPUBLIC,Samaná Province,Fishing,N,,2011.09.28.b-Sarante.pdf
2011.09.28.a,28-Sep-2011,2011,Unprovoked,SOUTH AFRICA,Western Cape Province,Swimming,N,White shark,2011.09.28.a-Cohen.pdf
2011.09.24.b,24-Sep-2011,2011,Unprovoked,USA,Florida,Spearfishing,N,"Bull shark, 6'",2011.09.24.b-Wickersham.pdf
2011.09.24.a,24-Sep-2011,2011,Unprovoked,USA,South Carolina,Jumping in the waves,N,,2011.09.24.a-O'Hara.pdf
2011.09.20,20-Sep-2011,2011,Boat,USA,Hawaii,Canoeing,N,,2011.09.20-Bartlett.pdf
2011.09.19,19-Sep-2011,2011,Unprovoked,REUNION,Saint-Gilles,Body boarding,Y,,2011.09.19-Schiller.pdf
2011.09.17,17-Sep-2011,2011,Unprovoked,KENYA,Coast Province,Swimming,Y,,2011.09.17-Kenya.pdf
2011.09.16,16-Sep-2011,2011,Unprovoked,USA,Florida,Surfing,N,4' to 6' shark,2011.09.16-Jorgensen.pdf
2011.09.11.b,11-Sep-2011,2011,Unprovoked,USA,California,Surfing,N,,2011.09.11.b-Benji-Rose.pdf
2011.09.11.a,11-Sep-2011,2011,Unprovoked,PAPUA NEW GUINEA,Central Province,Kite Surfing,N,"Tiger shark, 2m",2011.09.11.a-Viot.pdf
2011.09.04.b,04-Sep-2011,2011,Unprovoked,USA,Hawaii,Surfing,N,,2011.09.04.b-Felipe.pdf
2011.09.04.a,04-Sep-2011,2011,Unprovoked,AUSTRALIA,Western Australia,Body boarding,Y,White shark,2011.09.04.a-Burden.pdf
2011.09.02,02-Sep-2011,2011,Unprovoked,USA,Florida,Surfing,N,"6' shark, possibly a blactip or spinner shark",2011.09.02-True.pdf
2011.08.31,31-Aug-2011,2011,Unprovoked,USA,Florida,Surfing,N,6' shark,2011.08.31-Lancaster.pdf
2011.08.28.b,28-Aug-2011,2011,Invalid,AUSTRALIA,Queensland,Swimming,UNKNOWN,Shark involvement prior to death not confirmed,2011.08.28-Roosteer.pdf
2011.08.28.a,28-Aug-2011,2011,Unprovoked,USA,Texas,Wade Fishing,N,,2011.08.28.a-Locklear.pdf
2011.08.26,26-Aug-2011,2011,Unprovoked,RUSSIA,Primorsky Krai,"Standing, collecting sea stars",N,,2011.08.26-Nechaev.pdf
2011.08.24.b,24-Aug-2011 ,2011,Unprovoked,USA,North Carolina,Surfing,N,,2011.08.24.b-Dinneen.pdf
2011.08.24.a,24-Aug-2011 ,2011,Unprovoked,USA,North Carolina,,N,,2011.08.24.a-Holden.pdf
2011.08.23,23-Aug-2011,2011,Unprovoked,SOUTH AFRICA,Western Cape Province,Surfing,Y,"White shark, >6'",2011.08.23-VanHeerden.pdf
2011.08.18,18-Aug-2011,2011,Unprovoked,RUSSIA,"Peter the Great Bay, Khasan, Primorsky Krai (Far East)",Swimming,N,,2011.08.18-Siderovich.pdf
2011.08.17.c.,17-Aug-2011,2011,Unprovoked,USA,North Carolina,Wading,N,Possibly a 5' to 6' sandtiger shark,2011.08.17.c-Aronian.pdf
2011.08.17.b.,17-Aug-2011,2011,Invalid,USA,North Carolina,,UNKNOWN,Shark involvement not confirmed,2011.08.17.b-child.pdf
2011.08.17.a,17-Aug-2011,2011,Unprovoked,RUSSIA,"Telyakovsky Bay, Khasan,  Primorsky Krai (Far East)",Swimming,N,4 m shark,2011.08.17.a-Udovenko.pdf
2011.08.16.c,16-Aug-2011,2011,Unprovoked,FRENCH POLYNESIA,Society Islands,Surfing,N,Grey reef shark ,2011.08.16.c-D'Esposito.pdf
2011.08.16.b,16-Aug--2011,2011,Unprovoked,USA,Puerto Rico,Floating ,N,,2011.08.16.b-Strunk.pdf
2011.08.16.a,16-Aug-2011,2011,Unprovoked,SEYCHELLES,Praslin,Swimming or Snorkeling,Y,"Bull shark, 6'",2011.08.16.a-Redmond.pdf
2011.08.15,15-Aug-2011,2011,Invalid,USA,South Carolina,Playing in the surf,N,Shark involvement not confirmed,2011.08.15-Varney.pdf
2011.08.11,11-Aug--2011,2011,Unprovoked,USA,North Carolina,Swimming,N,,2011.08.11-DonnieWhite.pdf
2011.08.01,01-Aug-2011,2011,Unprovoked,SEYCHELLES,Praslin,Diving,Y,,2011.08.01-Virolle.pdf
2011.07.31,31-Jul-2011,2011,Invalid,BRAZIL,Pernambuco,Swimming,UNKNOWN,Shark involvement prior to death not confirmed,2011.07.31-GabrielAlves-dos-Santos.pdf
2011.07.30,30-Jul-2011,2011,Sea Disaster,PHILIPPINES,,Sea disaster,N,,2011.07.30-Malabago.pdf
2011.07.25,25-Jul-2011,2011,Unprovoked,USA,New Jersey,Wade Fishing,N,,2011.07.25-Aubrey.pdf
2011.07.22,22-Jul-2011,2011,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Surfing,N,"White shark, 3m to 4m",2011.07.22-Struwig.pdf
2011.07.19,19-Jul-2011,2011,Unprovoked,USA,North Carolina,Boogie Boarding,N,,2011.07.19-Mangum.pdf
2011.07.15,15-Jul-2011,2011,Boating,REUNION,Saint-Gilles,Kayaking or Wave skiing,N,,2011.07.15-Reunion-kayaker.pdf
2011.07.13.b,13-Jul-2011,2011,Unprovoked,USA,Texas,Surf fishing,N,,2011.07.13.b-Paez.pdf
2011.07.13.a,13-Jul-2011,2011,Unprovoked,BAHAMAS,Grand Bahama Island,Scuba diving,N,,2011.07.13-diver-Bahamas.pdf
2011.07.07.b,07-Jul-2011,2011,Unprovoked,USA,Texas,Swimming,N,,2011.07.07.b-Vossler.pdf
2011.07.07.a,07-Jul-2011,2011,Unprovoked,USA,Texas,Wade Fishing,N,,2011.07.07.a-Hamilton.pdf
2011.07.06,06-Jul-2011,2011,Unprovoked,REUNION,Saint-Gilles,Surfing,N,,2011.07.06-Arnaud.pdf
2011.07.05,05-Jul-2011,2011,Unprovoked,COLUMBIA,Sucre,Kayaking,N,,2011.07.05-Vidal.pdf
2011.06.30,30-Jun-2011,2011,Unprovoked,TURKS & CAICOS,Middle Caicos,Snorkeling,N,,2011.06.30-Cryonak.pdf
2011.06.29,29-Jun-2011,2011,Unprovoked,BRAZIL,Pernambuco,Surfing,N,,2011.06.29-Brazil.pdf
2011.06.28,28-Jun-2011,2011,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Scuba diving,N,"Bull shark, 3m female",2011.06.28-Stanchi.pdf
2011.06.26,26-Jun-2008,2011,Unprovoked,USA,North Carolina,Playing in the surf,N,"Bull shark, 6'",2011.06.26-Cartwright.pdf
2011.06.24,24-Jun-2011,2011,Unprovoked,USA,California,Surfing,N,"White shark, 5' k",2011.06.24-Green.pdf
2011.06.21,21-Jun-2011,2011,Unprovoked,USA,Florida,Jet skiing,N,,2011.06.21-McConnell.pdf
2011.06.19.b,19-Jun-2011,2011,Unprovoked,TURKS & CAICOS,Caicos Bank,Spearfishing,N,5' shark,2011.06.19.b-Lewis.pdf
2011.06.19.a,19-Jun-2011,2011,Unprovoked,COSTA RICA,Guanacaste,Surfing,Y,,2011.06.19.a-Moraga.pdf
2011.06.15,15-Jun-2011,2011,Unprovoked,REUNION,Saint-Gilles-les-Bains,Boogie Boarding,Y,,2011.06.15-Auber.pdf
2011.06.14.R,Reported 14-Jun-2011,2011,Boating,UNITED KINGDOM,Cornwall,Fishing,N,"Oceanic whitetip shark, 7'",2011.06.14.R-St.Ives.pdf
2011.06.12,12-Jun-2011,2011,Unprovoked,USA,Florida,Scuba diving,N,"Blacktip shark, 4'",2011.06.12-Webb.pdf
2011.06.06.R,Reported 06-Jun-2011,2011,Unprovoked,COLUMBIA,San Andrés archipelago,Spearfishing,N,,2011.06.06.R-James.pdf
2011.06.06.b,06-Jun-2011,2011,Unprovoked,USA,California,Spearfishing,N,"Sevengill shark, 6' to 8'",2011.06.06.b-Schlaefli.pdf
2011.06.06.a,06-Jun-2011,2011,Unprovoked,USA,Florida,Wading,N,3' to 4' shark,2011.06.06.a-McIntosh.pdf
2011.06.01,01-Jun-2011,2011,Unprovoked,MALAYSIA,Kedah,Snorkeling,N,Blacktip reef shark ,2011.06.01-Malaysia.pdf
2011.05.30,30-May-2011,2011,Unprovoked,USA,Texas,Standing or boogie boardin,N,,2011.05.30-Robertson.pdf
2011.05.29,29-May-2011,2011,Unprovoked,SOUTH AFRICA,Western Cape Province,Surfing,N,White shark,2011.05.29-Nelson.pdf
2011.05.25,25-May-2011,2011,Unprovoked,USA,Hawaii,Surfing,N,"Tiger shark, 10'",2011.05.25-Fernandez.pdf
